Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Time,Media file name,Image index,Image file path,Comment
dest_1405,2025-06-26 15:24:30.572,,205.135,Media file(s),player #1:C:\Users\esthe\Downloads\destroy 14 _\commentary;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_10_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_11_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_12_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_13_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_14_onehalf.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_15_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_16_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_17_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_18_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_19_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_20_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_21_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_22_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_23_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_24_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_3_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_4_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_5_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_7_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_8_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_9_two.mp4,0.0,5.733;7.332;7.532;9.967;5.533;11.765;7.566;7.666;5.399;10.698;14.798;9.032;17.966;5.367;13.428;4.134;10.598;14.335;5.466;17.264;6.999;7.933;4.666,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Destroy,bending,,,STOP,184.904,C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4,318,NA,
dest_1405,2025-06-26 15:24:30.572,,205.135,Media file(s),player #1:C:\Users\esthe\Downloads\destroy 14 _\commentary;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_10_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_11_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_12_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_13_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_14_onehalf.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_15_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_16_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_17_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_18_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_19_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_20_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_21_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_22_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_23_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_24_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_3_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_4_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_5_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_7_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_8_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_9_two.mp4,0.0,5.733;7.332;7.532;9.967;5.533;11.765;7.566;7.666;5.399;10.698;14.798;9.032;17.966;5.367;13.428;4.134;10.598;14.335;5.466;17.264;6.999;7.933;4.666,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Destroy,grabbing peanut,,,POINT,184.904,C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4,318,NA,
dest_1405,2025-06-26 15:24:30.572,,205.135,Media file(s),player #1:C:\Users\esthe\Downloads\destroy 14 _\commentary;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_10_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_11_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_12_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_13_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_14_onehalf.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_15_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_16_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_17_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_18_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_19_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_20_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_21_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_22_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_23_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_24_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_3_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_4_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_5_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_7_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_8_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_9_two.mp4,0.0,5.733;7.332;7.532;9.967;5.533;11.765;7.566;7.666;5.399;10.698;14.798;9.032;17.966;5.367;13.428;4.134;10.598;14.335;5.466;17.264;6.999;7.933;4.666,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Destroy,lifting,,,START,184.938,C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4,319,NA,
dest_1405,2025-06-26 15:24:30.572,,205.135,Media file(s),player #1:C:\Users\esthe\Downloads\destroy 14 _\commentary;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_10_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_11_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_12_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_13_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_14_onehalf.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_15_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_16_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_17_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_18_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_19_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_20_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_21_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_22_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_23_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_24_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_3_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_4_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_5_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_7_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_8_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_9_two.mp4,0.0,5.733;7.332;7.532;9.967;5.533;11.765;7.566;7.666;5.399;10.698;14.798;9.032;17.966;5.367;13.428;4.134;10.598;14.335;5.466;17.264;6.999;7.933;4.666,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Destroy,lifting,,,STOP,185.538,C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4,337,NA,
dest_1405,2025-06-26 15:24:30.572,,205.135,Media file(s),player #1:C:\Users\esthe\Downloads\destroy 14 _\commentary;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_10_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_11_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_12_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_13_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_14_onehalf.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_15_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_16_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_17_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_18_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_19_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_20_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_21_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_22_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_23_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_24_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_3_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_4_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_5_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_7_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_8_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_9_two.mp4,0.0,5.733;7.332;7.532;9.967;5.533;11.765;7.566;7.666;5.399;10.698;14.798;9.032;17.966;5.367;13.428;4.134;10.598;14.335;5.466;17.264;6.999;7.933;4.666,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Destroy,target,,,START,185.738,C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4,343,NA,
dest_1405,2025-06-26 15:24:30.572,,205.135,Media file(s),player #1:C:\Users\esthe\Downloads\destroy 14 _\commentary;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_10_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_11_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_12_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_13_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_14_onehalf.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_15_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_16_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_17_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_18_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_19_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_20_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_21_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_22_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_23_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_24_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_3_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_4_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_5_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_7_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_8_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_9_two.mp4,0.0,5.733;7.332;7.532;9.967;5.533;11.765;7.566;7.666;5.399;10.698;14.798;9.032;17.966;5.367;13.428;4.134;10.598;14.335;5.466;17.264;6.999;7.933;4.666,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Destroy,target,,,STOP,187.504,C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4,396,NA,
dest_1405,2025-06-26 15:24:30.572,,205.135,Media file(s),player #1:C:\Users\esthe\Downloads\destroy 14 _\commentary;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_10_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_11_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_12_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_13_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_14_onehalf.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_15_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_16_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_17_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_18_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_19_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_20_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_21_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_22_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_23_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_24_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_3_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_4_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_5_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_7_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_8_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_9_two.mp4,0.0,5.733;7.332;7.532;9.967;5.533;11.765;7.566;7.666;5.399;10.698;14.798;9.032;17.966;5.367;13.428;4.134;10.598;14.335;5.466;17.264;6.999;7.933;4.666,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Destroy,assessing,,,START,187.638,C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4,400,NA,
dest_1405,2025-06-26 15:24:30.572,,205.135,Media file(s),player #1:C:\Users\esthe\Downloads\destroy 14 _\commentary;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_10_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_11_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_12_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_13_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_14_onehalf.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_15_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_16_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_17_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_18_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_19_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_20_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_21_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_22_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_23_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_24_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_3_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_4_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_5_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_7_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_8_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_9_two.mp4,0.0,5.733;7.332;7.532;9.967;5.533;11.765;7.566;7.666;5.399;10.698;14.798;9.032;17.966;5.367;13.428;4.134;10.598;14.335;5.466;17.264;6.999;7.933;4.666,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Destroy,jaw movement,,,POINT,187.771,C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4,404,NA,
dest_1405,2025-06-26 15:24:30.572,,205.135,Media file(s),player #1:C:\Users\esthe\Downloads\destroy 14 _\commentary;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_10_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_11_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_12_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_13_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_14_onehalf.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_15_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_16_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_17_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_18_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_19_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_20_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_21_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_22_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_23_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_24_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_3_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_4_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_5_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_7_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_8_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_9_two.mp4,0.0,5.733;7.332;7.532;9.967;5.533;11.765;7.566;7.666;5.399;10.698;14.798;9.032;17.966;5.367;13.428;4.134;10.598;14.335;5.466;17.264;6.999;7.933;4.666,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Destroy,ear clapping,,,POINT,188.271,C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4,419,NA,
dest_1405,2025-06-26 15:24:30.572,,205.135,Media file(s),player #1:C:\Users\esthe\Downloads\destroy 14 _\commentary;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_10_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_11_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_12_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_13_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_14_onehalf.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_15_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_16_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_17_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_18_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_19_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_20_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_21_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_22_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_23_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_24_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_3_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_4_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_5_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_7_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_8_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_9_two.mp4,0.0,5.733;7.332;7.532;9.967;5.533;11.765;7.566;7.666;5.399;10.698;14.798;9.032;17.966;5.367;13.428;4.134;10.598;14.335;5.466;17.264;6.999;7.933;4.666,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Destroy,ear clapping,,,POINT,188.404,C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4,423,NA,
dest_1405,2025-06-26 15:24:30.572,,205.135,Media file(s),player #1:C:\Users\esthe\Downloads\destroy 14 _\commentary;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_10_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_11_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_12_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_13_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_14_onehalf.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_15_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_16_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_17_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_18_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_19_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_20_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_21_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_22_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_23_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_24_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_3_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_4_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_5_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_7_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_8_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_9_two.mp4,0.0,5.733;7.332;7.532;9.967;5.533;11.765;7.566;7.666;5.399;10.698;14.798;9.032;17.966;5.367;13.428;4.134;10.598;14.335;5.466;17.264;6.999;7.933;4.666,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Destroy,jaw movement,,,POINT,188.404,C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4,423,NA,
dest_1405,2025-06-26 15:24:30.572,,205.135,Media file(s),player #1:C:\Users\esthe\Downloads\destroy 14 _\commentary;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_10_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_11_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_12_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_13_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_14_onehalf.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_15_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_16_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_17_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_18_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_19_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_20_one.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_21_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_22_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_23_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_24_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_3_three.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_4_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_5_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_7_two.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_8_five.mp4;C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_9_two.mp4,0.0,5.733;7.332;7.532;9.967;5.533;11.765;7.566;7.666;5.399;10.698;14.798;9.032;17.966;5.367;13.428;4.134;10.598;14.335;5.466;17.264;6.999;7.933;4.666,30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Destroy,jaw movement,,,POINT,188.737,C:\Users\esthe\Downloads\destroy 14 _\Dest_1405_6_seven.mp4,433,NA,
